,food_id,orig_food_common_name,orig_food_scientific_name,scientific_name,other
0,4,Kiwi,Actinidia chinensis PLANCHON [Actinidiaceae],Actinidia chinensis,PLANCHON [Actinidiaceae]
1,6,Onion,Allium cepa L. [Liliaceae],Allium cepa,L. [Liliaceae]
3,9,Chives,Allium schoenoprasum L. [Liliaceae],Allium schoenoprasum,L. [Liliaceae]
4,11,Cashew,Anacardium occidentale L. [Anacardiaceae],Anacardium occidentale,L. [Anacardiaceae]
7,12,Pineapple,Ananas comosus (L.) MERR. [Bromeliaceae],Ananas comosus,(L.) MERR. [Bromeliaceae]
8,13,Dill,Anethum graveolens L. [Apiaceae],Anethum graveolens,L. [Apiaceae]
10,14,Custard Apple,Annona reticulata L. [Annonaceae],Annona reticulata,L. [Annonaceae]
12,15,Celery,Apium graveolens L. [Apiaceae],Apium graveolens,L. [Apiaceae]
15,16,Groundnut,Arachis hypogaea L. [Fabaceae],Arachis hypogaea,L. [Fabaceae]
18,17,Burdock,Arctium lappa L. [Asteraceae],Arctium lappa,L. [Asteraceae]
21,18,Horseradish,Armoracia rusticana GAERTN. ET AL. [Brassicaceae],Armoracia rusticana,GAERTN. ET AL. [Brassicaceae]
22,19,Tarragon,Artemisia dracunculus L. [Asteraceae],Artemisia dracunculus,L. [Asteraceae]
24,20,Mugwort,Artemisia vulgaris L. [Asteraceae],Artemisia vulgaris,L. [Asteraceae]
25,21,Asparagus,Asparagus officinalis L. [Liliaceae],Asparagus officinalis,L. [Liliaceae]
27,22,Oats,Avena sativa L. [Poaceae],Avena sativa,L. [Poaceae]
29,23,Carambola,Averrhoa carambola L. [Oxalidaceae],Averrhoa carambola,L. [Oxalidaceae]
30,24,Brazilnut,Bertholletia excelsa BONPL. [Lecythidaceae],Bertholletia excelsa,BONPL. [Lecythidaceae]
31,26,Beebread,Borago officinalis L. [Boraginaceae],Borago officinalis,L. [Boraginaceae]
33,27,Mustard Greens,Brassica juncea (L.) CZERNJ. & COSSON [Brassicaceae],Brassica juncea,(L.) CZERNJ. & COSSON [Brassicaceae]
35,32,Brussel-Sprout,Brassica oleracea var. gemmifera var. gemmifera DC [Brassicaceae],Brassica oleracea,var. gemmifera var. gemmifera DC [Brassicaceae]
36,33,Kohlrabi,Brassica oleracea var. gongylodes L. [Brassicaceae],Brassica oleracea,var. gongylodes L. [Brassicaceae]
37,34,Asparagus Broccoli,"Brassica oleracea var. italica L., PLENCK [Brassicaceae]",Brassica oleracea,"var. italica L., PLENCK [Brassicaceae]"
