,USDA_id,usda_common_name,scientific_name
0,ABAB,shrubby Indian mallow,Abutilon abutiloides
1,ABAB70,abietinella moss,Abietinella abietina
2,ABAL,Ramshaw Meadows sand verbena,Abronia alpina
3,ABAL3,silver fir,Abies alba
4,ABAM,Pacific silver fir,Abies amabilis
5,ABAM2,Amelia's sand verbena,Abronia ameliae
6,ABAM3,Wyoming sand verbena,Abronia ammophila
7,ABAN,purple sand verbena,Abronia angustifolia
8,ABAR,clay sand verbena,Abronia argillosa
9,ABAU,Asian Indian mallow,Abutilon auritum
10,ABAU3,devil's-cotton,Abroma augustum
11,ABBA,balsam fir,Abies balsamea
14,ABBE,Berlandier's Indian mallow,Abutilon berlandieri
15,ABBI,Galisteo sand verbena,Abronia bigelovii
16,ABBO,Bolack's sand verbena,Abronia bolackii
17,ABBR,bristlecone fir,Abies bracteata
18,ABCA,Carleton's sand verbena,Abronia carletonii
19,ABCO,white fir,Abies concolor
20,ABEL,fragrant white sand verbena,Abronia elliptica
21,ABELI,abelia,Abelia R.
22,ABELM,okra,Abelmoschus Medik.
23,ABER,hiddenpetal Indian mallow,Abutilon eremitopetalum
24,ABES,okra,Abelmoschus esculentus
25,ABFI,Momi fir,Abies firma
26,ABFR,Fraser fir,Abies fraseri
27,ABFR2,snowball sand verbena,Abronia fragrans
28,ABFR3,Texas Indian mallow,Abutilon fruticosum
29,ABGR,grand fir,Abies grandis
30,ABGR2,slender sand verbena,Abronia gracilis
31,ABGR3,hairy Indian mallow,Abutilon grandifolium
32,ABGR4,glossy abelia,Abelia ×grandiflora
33,ABGU,Guatemalan fir,Abies guatemalensis
34,ABHI,Florida Keys Indian mallow,Abutilon hirtum
35,ABHO,Nikko fir,Abies homolepis
36,ABHU,mauve,Abutilon hulseanum
37,ABHY,whiteleaf Indian mallow,Abutilon hypoleucum
38,ABIES,fir,Abies Mill.
39,ABIET,abietenella moss,Abietinella Müll.
40,ABILD,sedge,Abildgaardia Vahl
41,ABIN,pelotazo,Abutilon incanum
42,ABIN2,island sand verbena,Abronia insularis
43,ABIN3,monkeybush,Abutilon indicum
44,ABLA,subalpine fir,Abies lasiocarpa
45,ABLA2,coastal sand verbena,Abronia latifolia
48,ABLO,Sierra white fir,Abies lowiana
49,ABMA,California red fir,Abies magnifica
50,ABMA2,red sand verbena,Abronia maritima
51,ABMA3,yellow Indian mallow,Abutilon malacum
52,ABMA5,largefruit sand verbena,Abronia macrocarpa
55,ABME,white sand verbena,Abronia mellifera
56,ABME2,ko'oloa 'ula,Abutilon menziesii
57,ABME3,trailing abutilon,Abutilon megapotamicum
58,ABMI2,little sand verbena,Abronia minor
59,ABMO,musk okra,Abelmoschus moschatus
60,ABMO2,Sonoran Indian mallow,Abutilon mollicomum
61,ABNA,dwarf sand verbena,Abronia nana
65,ABNE,beach sand verbena,Abronia neurophylla
66,ABOV,flatspike sedge,Abildgaardia ovata
67,ABPA,Palmer's Indian mallow,Abutilon palmeri
68,ABPA2,Parish's Indian mallow,Abutilon parishii
69,ABPA3,dwarf Indian mallow,Abutilon parvulum
70,ABPA5,parmelia abrothallus lichen,Abrothallus parmeliarum
71,ABPE,coastal Indian mallow,Abutilon permolle
72,ABPO,Mojave sand verbena,Abronia pogonantha
73,ABPR,noble fir,Abies procera
74,ABPR3,rosarypea,Abrus precatorius
75,ABRE,yellowflower Indian mallow,Abutilon reventum
76,ABRON,sand verbena,Abronia Juss.
77,ABROT,abrothallus lichen,Abrothallus De
78,ABRUS,abrus,Abrus Adans.
79,ABSA2,greenflower Indian mallow,Abutilon sandwicense
80,ABSCO,absconditella lichen,Absconditella Vezda
81,ABSP,sphagnum absonditella lichen,Absconditella sphagnorum
82,ABTH,velvetleaf,Abutilon theophrasti
83,ABTH2,Thurber's Indian mallow,Abutilon thurberi
84,ABTR,anglestem Indian mallow,Abutilon trisulcatum
85,ABTR3,trivial absconditella lichen,Absconditella trivialis
86,ABTU,transmontane sand verbena,Abronia turbinata
87,ABUM,pink sand verbena,Abronia umbellata
90,ABUTI,Indian mallow,Abutilon Mill.
91,ABVE2,Christmastree,Abies veitchii
92,ABVI,desert sand verbena,Abronia villosa
95,ABWR,Wright's Indian mallow,Abutilon wrightii
96,ACAC,needletip trumpets,Acleisanthes acutifolia
97,ACAC7,gold-dust acacia,Acacia acinacea
98,ACACI,acacia,Acacia Mill.
99,ACAD,Wallangarra wattle,Acacia adunca
100,ACAE,cracked lichen,Acarospora aeruginosa
101,ACAEN,acaena,Acaena Mutis
102,ACAG,yarrow,Achillea ageratifolia
103,ACAG3,sweet-Nancy,Achillea ageratum
104,ACAL13,cracked lichen,Acarospora albomarginata
105,ACAL16,winged wattle,Acacia alata
106,ACAL17,Chinese yarrow,Achillea alpina
107,ACAL2,foxtail copperleaf,Acalypha alopecuroidea
108,ACALY,copperleaf,Acalypha L.
109,ACAM,sweetflag,Acorus americanus
110,ACAM2,catch me if you can,Acalypha amentacea
111,ACAM5,American cracked lichen,Acarospora americana
112,ACAM8,acroceras,Acroceras amplectens
113,ACAM9,acacia,Acacia ampliceps
114,ACAMP,goldenhead,Acamptopappus (A.
115,ACAN10,mulga,Acacia aneura
116,ACAN11,prairie acacia,Acaciella angustissima
117,ACAN2,obliqueleaf trumpets,Acleisanthes anisophylla
118,ACAN8,yellow monkshood,Aconitum anthora
121,ACANT2,thorn-mint,Acanthomintha (A.
122,ACANT3,starbur,Acanthospermum Schrank
123,ACANT6,triangle cactus,Acanthocereus (Engelm.
124,ACANT7,acanthus,Acanthus L.
125,ACAP,cracked lichen,Acarospora applanata
126,ACAR,hollowheart,Acnistus arborescens
127,ACAR10,tara vine,Actinidia arguta
128,ACAR14,Mormon needlegrass,Achnatherum aridum
129,ACAR16,field copperleaf,Acalypha arvensis
130,ACAR18,Arizona bugbane,Actaea arizonica
131,ACAR2,basil thyme,Acinos arvensis
132,ACAR8,cracked lichen,Acarospora arenacea
133,ACAR9,cracked lichen,Acarospora arenosa
134,ACARO2,cracked lichen,Acarospora A.
135,ACAS,devil's horsewhip,Achyranthes aspera
136,ACAS3,Asahina's cracked lichen,Acarospora asahinae
137,ACAS4,cracked lichen,Acarospora asperata
140,ACAU,earleaf acacia,Acacia auriculiformis
141,ACAU2,Paraguayan starbur,Acanthospermum australe
142,ACAU3,golden leatherfern,Acrostichum aureum
143,ACAU6,Asian copperleaf,Acalypha australis
144,ACAUL,acaulon moss,Acaulon Müll.
145,ACBA,cootamundra wattle,Acacia baileyana
146,ACBA4,cracked lichen,Acarospora badiofusca
147,ACBE2,Guayama Copperleaf,Acalypha berteriana
148,ACBE6,Barrier Range wattle,Acacia beckleri
149,ACBI3,streambank copperleaf,Acalypha bisetosa
150,ACBI4,twocolor monkshood,Aconitum ×bicolor
151,ACBI5,two-vein-hickory,Acacia binervata
152,ACBO4,Snowy River wattle,Acacia boomanii
153,ACBR3,gray mulga,Acacia brachybotrya
154,ACBR5,shortbristled needlegrass,Achnatherum brachychaetum
155,ACBU2,cracked lichen,Acarospora bullata
156,ACBU4,trident maple,Acer buergerianum
157,ACCA14,cracked lichen,Acarospora caesiofusca
158,ACCA15,California cracked lichen,Acarospora californica
159,ACCA16,Canada cracked lichen,Acarospora canadensis
160,ACCA17,Carnegie's cracked lichen,Acarospora carnegiei
161,ACCA18,acrocordia lichen,Acrocordia cavata
162,ACCA20,Carmichael's monkshood,Aconitum carmichaelii
163,ACCA24,broom wattle,Acacia calamifolia
164,ACCA25,gidgee,Acacia cambagei
165,ACCA27,wyalong wattle,Acacia cardiophylla
166,ACCA3,California copperleaf,Acalypha californica
167,ACCA31,Chilean ricegrass,Achnatherum caudatum
168,ACCA32,Mandan ricegrass,×Achnella caduca
169,ACCA34,Cape ricegrass,Achnatherum capense
170,ACCA4,calamus,Acorus calamus
171,ACCA5,hedge maple,Acer campestre
172,ACCA6,deer's foot,Achlys californica
173,ACCE,cracked lichen,Acarospora cervina
174,ACCH2,bastard copperleaf,Acalypha chamaedryfolia
175,ACCH5,kiwi,Actinidia chinensis
176,ACCH8,Chinchilla wattle,Acacia chinchillensis
178,ACCI,vine maple,Acer circinatum
179,ACCI2,cracked lichen,Acarospora cinereoalba
180,ACCI5,ivyleaf maple,Acer cissifolium
181,ACCI6,turpentine mulga,Acacia cibaria
182,ACCL7,Mexican ricegrass,Achnatherum clandestinum
183,ACCO,small Philippine acacia,Acacia confusa
184,ACCO10,Colorado cracked lichen,Acarospora coloradiana
185,ACCO11,cracked lichen,Acarospora complanata
186,ACCO12,acrocordia lichen,Acrocordia conoidea
187,ACCO15,bower wattle,Acacia cognata
188,ACCO18,thorn wattle,Acacia continua
189,ACCO21,giant ricegrass,Achnatherum coronatum
190,ACCO22,contracted ricegrass,Achnatherum contractum
191,ACCO3,onyxflower,Achyronychia cooperi
192,ACCO4,Columbian monkshood,Aconitum columbianum
195,ACCR,Texas trumpets,Acleisanthes crassifolia
196,ACCU4,knife acacia,Acacia cultriformis
197,ACCU6,Guadalupe ricegrass,Achnatherum curvifolium
198,ACCY2,coastal wattle,Acacia cyclops
199,ACDA,inland leatherfern,Acrostichum danaeifolium
200,ACDE,green wattle,Acacia decurrens
201,ACDE11,Deane's wattle,Acacia deanei
202,ACDE12,graceful wattle,Acacia decora
203,ACDE2,larkspurleaf monkshood,Aconitum delphiniifolium
204,ACDE3,silver wattle,Acacia dealbata
205,ACDE4,Deam's threeseed mercury,Acalypha deamii
206,ACDE5,creeping spotflower,Acmella decumbens
207,ACDE9,cracked lichen,Acarospora desolata
211,ACDI10,San Diego needlegrass,Achnatherum diegoense
212,ACDI4,cracked lichen,Acarospora dispersa
213,ACDI6,Alps yarrow,Achillea distans
214,ACDI8,drooping wattle,Acacia difformis
215,ACDO2,spearwood,Acacia doratoxylon
216,ACDR2,Drummond's wattle,Acacia drummondii
217,ACDU2,San Mateo thorn-mint,Acanthomintha duttonii
218,ACEB3,acanthus,Acanthus ebracteatus
219,ACEL,cedar wattle,Acacia elata
220,ACEL2,cracked lichen,Acarospora elevata
221,ACEL4,tall bugbane,Actaea elata
222,ACEM4,southwestern needlegrass,Achnatherum eminens
223,ACER,maple,Acer L.
224,ACER4,camelthorn,Acacia erioloba
225,ACEX,liliwai,Acaena exigua
226,ACFE,Indian aconite,Aconitum ferox
227,ACFE2,fierce Spaniard,Aciphylla ferox
228,ACFI,fernleaf yarrow,Achillea filipendulina
229,ACFI3,Fischer monkshood,Aconitum fischeri
230,ACFI4,fringed wattle,Acacia fimbriata
231,ACFL,southern sugar maple,Acer floridanum
232,ACFR,Freeman maple,Acer ×freemanii
233,ACFU2,cracked lichen,Acarospora fuscata
234,ACFU3,cracked lichen,Acarospora fuscescens
235,ACGA2,Gallic cracked lichen,Acarospora gallica
236,ACGE4,cracked lichen,Acarospora geogena
237,ACGE5,acrocordia lichen,Acrocordia gemmata
238,ACGE8,early wattle,Acacia genistifolia
239,ACGI,Amur maple,Acer ginnala
240,ACGL,Rocky Mountain maple,Acer glabrum
241,ACGL2,cracked lichen,Acarospora glaucocarpa
242,ACGL7,acacia,Acaciella glauca
249,ACGR14,paperbark maple,Acer griseum
250,ACGR15,grassleaf sweet flag,Acorus gramineus
251,ACGR2,slender threeseed mercury,Acalypha gracilens
252,ACGR3,bigtooth maple,Acer grandidentatum
253,ACGR9,graceful wattle,Acacia gracilifolia
256,ACHA3,Hasse's cracked lichen,Acarospora hassei
257,ACHE10,Henderson's needlegrass,Achnatherum hendersonii
258,ACHE6,Hepp's cracked lichen,Acarospora heppii
259,ACHE7,Heufler's cracked lichen,Acarospora heufleriana
260,ACHI,hispid starbur,Acanthospermum hispidum
261,ACHI2,red-hot cat's tail,Acalypha hispida
262,ACHI6,cracked lichen,Acarospora hilaris
263,ACHIL,yarrow,Achillea L.
264,ACHLY,achlys,Achlys DC.
265,ACHNA,needlegrass,Achnatherum P.
266,﻿ACHNE,ricegrass,×Achnella Barkworth
267,ACHO2,candelabra wattle,Acacia holosericea
268,ACHO5,sticky wattle,Acacia howittii
269,ACHU,low starbur,Acanthospermum humile
270,ACHY,Indian ricegrass,Achnatherum hymenoides
271,ACHYR,blow wives,Achyrachaena Schauer
272,ACHYR2,chaff flower,Achyranthes L.
273,ACHYR3,achyronychia,Achyronychia Torr.
274,ACICA,acicarpha,Acicarpha Juss.
275,ACIDA,acidanthera,Acidanthera Hochst.
276,ACIL,San Diego thorn-mint,Acanthomintha ilicifolia
277,ACIM2,water cracked lichen,Acarospora immersa
278,ACIM3,cracked lichen,Acarospora impressula
279,ACIM4,imbricate wattle,Acacia imbricata
280,ACIM5,screw-pod wattle,Acacia implexa
281,ACIN12,Indian acalypha,Acalypha indica
282,ACIN2,Arizona monkshood,Aconitum infectum
283,ACIN5,cracked lichen,Acarospora instrata
284,ACIN6,cracked lichen,Acarospora interjecta
285,ACIN7,cracked lichen,Acarospora interposita
286,ACIN8,cracked lichen,Acarospora interspersa
287,ACINO,acinos,Acinos Mill.
288,ACIO,maluco,Acmella iodiscaea
289,ACIPH,fierce Spaniard,Aciphylla J.R.
290,ACIR,green wattle,Acacia irrorata
291,ACISA,acisanthera,Acisanthera P.
292,ACJA,Japanese chaff flower,Achyranthes japonica
293,ACJA2,Amur maple,Acer japonicum
295,ACKO,koa,Acacia koa
296,ACKO2,koaoha,Acacia koaia
297,ACLA12,Mt. Hood bugbane,Actaea laciniata
298,ACLA2,Santa Clara thorn-mint,Acanthomintha lanceolata
299,ACLA8,Sierra needlegrass,Achnatherum latiglume
300,ACLE,chalk maple,Acer leucoderme
301,ACLE10,whitehair acacia,Acaciella leucothrix
303,ACLE8,Lemmon's needlegrass,Achnatherum lemmonii
304,ACLE9,Letterman's needlegrass,Achnatherum lettermanii
305,ACLEI,trumpets,Acleisanthes A.
308,ACLI2,Ligurian yarrow,Achillea ligustica
309,ACLI8,acacia,Acacia ligulata
310,ACLI9,lilyleaf acriopsis,Acriopsis liliifolia
312,ACLO,Sydney golden wattle,Acacia longifolia
313,ACLO2,angel's trumpets,Acleisanthes longiflora
314,ACLO7,littleawn needlegrass,Achnatherum lobatum
315,ACLU,baneberry,Actaea ×ludovici
316,ACLY,monkshood,Aconitum lycoctonum
317,ACMA10,big spore cracked lichen,Acarospora macrospora
318,ACMA3,bigleaf maple,Acer macrophyllum
319,ACMA4,Kamchatka aconite,Aconitum maximum
320,ACMA5,Nile grass,Acroceras macrum
321,ACME,blackwood,Acacia melanoxylon
322,ACME2,grugru palm,Acrocomia media
323,ACME4,acrocordia lichen,Acrocordia megalospora
324,ACME7,Mexican copperleaf,Acalypha mexicana
325,ACME80,black wattle,Acacia mearnsii
326,ACMEL,spotflower,Acmella Rich.
327,ACMI2,common yarrow,Achillea millefolium
328,ACMI3,sacapellote,Acourtia microcephala
329,ACMI6,manna wattle,Acacia microcarpa
342,ACMO,round copperleaf,Acalypha monostachya
343,ACMO2,blow wives,Achyrachaena mollis
344,ACMO4,slender threeseed mercury,Acalypha monococca
345,ACMO6,molybdenum cracked lichen,Acarospora molybdina
346,ACMO8,bear's breech,Acanthus mollis
347,ACMU2,blunt chaff flower,Achyranthes mutica
348,ACMU5,acaulon moss,Acaulon muticum
349,ACMU6,narrow-leaf wattle,Acacia mucronata
352,ACMY3,cadillo,Acaena myriophylla
353,ACNA,Venus' chariot,Aconitum napellus
354,ACNA2,dwarf desertpeony,Acourtia nana
355,ACNE,New Mexico copperleaf,Acalypha neomexicana
356,ACNE10,Nevada needlegrass,Achnatherum nevadense
357,ACNE2,boxelder,Acer negundo
358,ACNE7,Nevada cracked lichen,Acarospora nevadensis
359,ACNE9,Columbia needlegrass,Achnatherum nelsonii
368,ACNI5,black maple,Acer nigrum
369,ACNI6,darkmargin cracked lichen,Acarospora nigromarginata
370,ACNI7,cracked lichen,Acarospora nitida
371,ACNIS,acnistus,Acnistus Schott
372,ACNO,noble yarrow,Achillea nobilis
373,ACNO2,northern blue monkshood,Aconitum noveboracense
374,ACNO5,notable wattle,Acacia notabilis
375,ACNO6,nodule cracked lichen,Acarospora nodulosa
376,ACNO7,biddy-biddy,Acaena novae-zelandiae
378,ACOB,San Benito thorn-mint,Acanthomintha obovata
379,ACOB2,Berlandier's trumpets,Acleisanthes obtusa
380,ACOB4,cracked lichen,Acarospora obnubila
381,ACOB5,cracked lichen,Acarospora obpallens
384,ACOC3,western needlegrass,Achnatherum occidentale
388,ACOEL,palm,Acoelorraphe H.
389,ACOL,cracked lichen,Acarospora oligospora
390,ACOM,yarran,Acacia omalophylla
391,ACONI,monkshood,Aconitum L.
392,ACOP,oppositeleaf spotflower,Acmella oppositifolia
394,ACORU,sweetflag,Acorus L.
395,ACOS,pineland threeseed mercury,Acalypha ostryifolia
396,ACOS2,umbrella acacia,Acacia oswaldii
397,ACOUR,desertpeony,Acourtia D.
398,ACPA,white baneberry,Actaea pachypoda
399,ACPA11,yarrow,Achillea pannonica
400,ACPA13,Parish's needlegrass,Achnatherum parishii
401,ACPA14,pale biddy-biddy,Acaena pallida
402,ACPA2,Japanese maple,Acer palmatum
403,ACPA7,particular cracked lichen,Acarospora particularis
404,ACPA8,paradox acacia,Acacia paradoxa
405,ACPA81,South Wales wattle,Acacia parramattensis
406,ACPA9,silver-stem wattle,Acacia parvipinnula
409,ACPE,striped maple,Acer pensylvanicum
410,ACPE10,blackwood,Acacia penninervis
411,ACPE13,New Mexico needlegrass,Achnatherum perplexum
412,ACPE6,cracked lichen,Acarospora peliscypha
413,ACPE7,cracked lichen,Acarospora peltastica
414,ACPE8,myall acacia,Acacia pendula
415,ACPH3,shrubby copperleaf,Acalypha phleoides
416,ACPI2,pine needlegrass,Achnatherum pinetorum
417,ACPI3,Argentinian biddy-biddy,Acaena pinnatifida
418,ACPI4,hairy spotflower,Acmella pilosa
420,ACPL,Norway maple,Acer platanoides
421,ACPO,Poiret's copperleaf,Acalypha poiretii
422,ACPO11,mountain bugbane,Actaea podocarpa
423,ACPO2,pearl wattle,Acacia podalyriifolia
424,ACPO4,Puerto Rico copperleaf,Acalypha portoricensis
425,ACPO9,silver vine,Actinidia polygama
426,ACPR3,goldenrain wattle,Acacia prominens
427,ACPR4,frosty wattle,Acacia pruinosa
428,ACPR6,wedge-leaf wattle,Acacia pravissima
429,ACPS,sycamore maple,Acer pseudoplatanus
430,ACPT,sneezeweed,Achillea ptarmica
431,ACPU,dwarf spotflower,Acmella pusilla
432,ACPY2,cracked lichen,Acarospora pyrenopsoides
433,ACPY3,golden wattle,Acacia pycnantha
434,ACQU,dustseed,Acisanthera quadrata
435,ACQU2,quorn wattle,Acacia quornensis
436,ACRA,cardinal's feather,Acalypha radians
437,ACRA4,cracked lichen,Acarospora radicata
438,ACRA6,goosegrass,Acrachne racemosa
439,ACRA7,black baneberry,Actaea racemosa
440,ACRAC,goosegrass,Acrachne Chiov.
443,ACRE,trailing white monkshood,Aconitum reclinatum
444,ACRE2,water wattle,Acacia retinodes
445,ACRE3,hardheads,Acroptilon repens
446,ACRE9,bank catclaw,Acacia redolens
447,ACRH,common threeseed mercury,Acalypha rhomboidea
448,ACRI6,nealie,Acacia rigens
449,ACRI7,creek wattle,Acacia rivalis
450,ACRI8,Richardson's needlegrass,Achnatherum richardsonii
451,ACRO7,sleepygrass,Achnatherum robustum
452,ACROC,acrocomia,Acrocomia Mart.
453,ACROC3,acrocordia lichen,Acrocordia A.
454,ACROC4,acroceras,Acroceras Stapf
455,ACROP,hardheads,Acroptilon Cass.
456,ACROP2,acroporium moss,Acroporium Mitt.
457,ACROS,leatherfern,Acrostichum L.
458,ACRU,red maple,Acer rubrum
459,ACRU11,red-leaf wattle,Acacia rubida
460,ACRU14,Appalachian bugbane,Actaea rubifolia
461,ACRU2,red baneberry,Actaea rubra
462,ACRU3,featherleaf desertpeony,Acourtia runcinata
463,ACRU5,cracked lichen,Acarospora rugulosa
469,ACSA,orange wattle,Acacia saligna
470,ACSA10,cooba,Acacia salicina
471,ACSA2,silver maple,Acer saccharinum
472,ACSA3,sugar maple,Acer saccharum
473,ACSA6,cracked lichen,Acarospora saepincola
476,ACSC10,acacia,Acacia sclerosperma
477,ACSC11,Scribner needlegrass,Achnatherum scribneri
478,ACSC4,cracked lichen,Acarospora scabrida
479,ACSC5,Schleicher's cracked lichen,Acarospora schleicheri
480,ACSC6,cracked lichen,Acarospora scotica
481,ACSC8,Schimper's acaulon moss,Acaulon schimperianum
482,ACSE,Cuban copperleaf,Acalypha setosa
483,ACSH,Shockley's goldenhead,Acamptopappus shockleyi
484,ACSH2,Shreve's prairie acacia,Acaciella shrevei
485,ACSI,Siberian yarrow,Achillea sibirica
486,ACSI4,cracked lichen,Acarospora sinopica
487,ACSI5,red wattle,Acacia silvestris
488,ACSM2,cracked lichen,Acarospora smaragdula
489,ACSM3,Small's acroporium moss,Acroporium smallii
490,ACSO2,cracked lichen,Acarospora socialis
491,ACSO4,acacia,Acacia sophorae
492,ACSP,rayless goldenhead,Acamptopappus sphaerocephalus
493,ACSP10,Eurasian baneberry,Actaea spicata
494,ACSP12,desert needlegrass,Achnatherum speciosum
495,ACSP2,mountain maple,Acer spicatum
496,ACSP3,Maui chaff flower,Achyranthes splendens
497,ACSP6,cracked lichen,Acarospora sparsa
498,ACSP7,spine acanthus,Acanthus spinosus
499,ACSP9,glory wattle,Acacia spectabilis
504,ACST2,cracked lichen,Acarospora stapfiana
505,ACST3,cracked lichen,Acarospora strigata
506,ACST5,Dalby myall,Acacia stenophylla
507,ACST7,Stillman's needlegrass,Achnatherum stillmanii
508,ACST8,bastard mulga,Acacia stowardii
509,ACSU10,awl-leaf wattle,Acacia subulata
510,ACSU12,prairie acacia,Acaciella suffrutescens
511,ACSU5,cracked lichen,Acarospora succedens
512,ACSU6,cracked lichen,Acarospora superfusa
513,ACSU9,sweet acacia,Acacia suaveolens
514,ACSW3,Swallen's needlegrass,Achnatherum swallenii
515,ACSY,Syrian acanthus,Acanthus syriacus
516,ACTA80,tatarian maple,Acer tataricum
