,trnL_id,trnl_common_name,scientific_name
0,46996,stinking hellebore,Helleborus foetidus
1,78511,European black currant,Ribes nigrum
2,175228,red currant,Ribes rubrum
3,135518,English gooseberry,Ribes uva-crispa
4,184985,bei dian di mei,Androsace septentrionalis
5,171896,Christmas-rose,Helleborus niger
6,4563,gama grass,Tripsacum dactyloides
7,4558,sorghum,Sorghum bicolor
8,76912,Balsas teosinte,Zea mays
9,15945,Guatemalan teosinte,Zea luxurians
10,4580,perennial teosinte,Zea perennis
11,52818,golden trumpet,Allamanda cathartica
12,283339,wild banksia rose,Rosa banksiae
13,119234,white prairie rose,Rosa foliolosa
14,32246,western wild rose,Rosa woodsii
15,3472,red puccoon,Sanguinaria canadensis
16,145709,Cuban royal palm,Roystonea regia
17,115514,rattan palm,Rhapis excelsa
18,115513,needle palm,Rhapidophyllum hystrix
19,145697,Nibung palm,Oncosperma tigillarium
20,480897,thatch palm,Coccothrinax crinita
21,54447,cabbage palmetto,Sabal palmetto
22,4720,Senegal date palm,Phoenix reclinata
23,77339,reed palm,Chamaedorea seifrizii
24,204141,hoary basil,Ocimum americanum
25,126758,balloon cottonbush,Gomphocarpus physocarpus
26,52837,Mexican love vine,Mandevilla sanderi
27,180757,mortino,Vaccinium floribundum
28,13291,dwarf bunt fungus,Tilletia controversa
29,113210,rocoto,Capsicum pubescens
30,197124,bu za ye,Microcos paniculata
31,83937,trumpet vine,Campsis radicans
32,202634,sacred garlic-pear,Crateva religiosa
33,1358727,Tibetan cherry,Prunus serrula
34,138667,hitoegusa,Monostroma nitidum
35,32245,jetbead,Rhodotypos scandens
36,32237,oso berry,Oemleria cerasiformis
37,32235,Alabama snow-wreath,Neviusia alabamensis
38,120385,Japanese kerria,Kerria japonica
39,223891,yellow-fruit nightshade,Solanum virginianum
40,883761,Indonesian bayleaf,Syzygium polyanthum
41,46945,white sassafras,Sassafras albidum
42,118778,mat'-i-machekha,Tussilago farfara
43,91518,Nepal grass,Microstegium vimineum
44,85437,nagami kumquat,Citrus japonica
45,226677,oilcloth-flower,Anthurium andraeanum
46,28516,purpletop,Verbena bonariensis
47,634377,bastard vervain,Stachytarpheta jamaicensis
48,154766,zhongguo zhong,Saccharum sinense
49,152679,Indian cane,Saccharum barberi
50,50543,snake gourd,Trichosanthes cucumerina
51,3670,smooth loofah,Luffa aegyptiaca
52,119176,xuan fu hua,Pentanema britannicum
53,318068,cocklebur,Xanthium strumarium
54,76434,papyrus,Cyperus papyrus
55,3505,European white birch,Betula pendula
56,321604,han mei,Rubus buergeri
