intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative
100,7.937767899666614e-05,0.000792393026941363,0.000792393026941363,8.820675663755844e-05,../db.crop-plant-entrez-ref.fasta.bz2,"NC_073584.1 Theobroma bicolor voucher KUELAP2926 chloroplast, complete genome",f87715c8,126200,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6411042555672297,0.711754967564703,0.6764296115659664,0.711754967564703,True
200,0.00015903307888040714,0.0016116035455278,0.0016116035455278,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_072537.1 Smallanthus sonchifolius chloroplast, complete genome",f608ca8a,124100,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7362279415686863,0.6994231173145615,0.7362279415686863,True
200,0.00015834059061040298,0.0015432098765432098,0.0015432098765432098,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_072518.1 Trichosanthes cucumerina isolate PT 6996 chloroplast, complete genome",2fdf0598,129600,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.734709196301714,0.6986637446810755,0.734709196301714,True
200,0.0001590583744234134,0.0016142050040355124,0.0016142050040355124,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_072298.1 Xanthium strumarium chloroplast, complete genome",b9d7da0f,123900,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7362844896773556,0.6994513913688962,0.7362844896773556,True
100,7.900142202559646e-05,0.0007564296520423601,0.0007564296520423601,8.820675663755844e-05,../db.crop-plant-entrez-ref.fasta.bz2,"NC_070364.1 Physalis philadelphica chloroplast, complete genome",4b53dcec,132200,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6411042555672297,0.7101824416220006,0.6756433485946152,0.7101824416220006,True
200,0.00015862944162436547,0.0015710919088766694,0.0015710919088766694,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_066745.1 Lactuca indica chloroplast, complete genome",2d0ce2ba,127300,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7353359352475423,0.6989771141539896,0.7353359352475423,True
200,0.00015724506643604056,0.001445086705202312,0.001445086705202312,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_066436.1 Piper retrofractum chloroplast, complete genome",ff1e68ef,138400,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7324143633488353,0.697516328204636,0.7324143633488353,True
100,7.880841673890771e-05,0.0007390983000739098,0.0007390983000739098,8.820675663755844e-05,../db.crop-plant-entrez-ref.fasta.bz2,"NC_066053.1 Morus nigra chloroplast, complete genome",9a04107d,135300,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6411042555672297,0.7093990149928431,0.6752516352800364,0.7093990149928431,True
200,0.00015878056525881233,0.0015860428231562252,0.0015860428231562252,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_066036.1 Stevia rebaudiana isolate BPTPS142 voucher LISE:96453 chloroplast, complete genome",342957ef,126100,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7356676557487005,0.6991429744045687,0.7356676557487005,True
200,0.00015919764387487066,0.0016286644951140066,0.0016286644951140066,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_066017.1 Cynara cardunculus isolate BPTPS064 voucher LISE:96391 chloroplast, complete genome",27ac6308,122800,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7365972235931318,0.6996077583267843,0.7365972235931318,True
200,0.00015970614070110996,0.0016835016835016834,0.0016835016835016834,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_065842.1 Valerianella locusta chloroplast, complete genome",f99991b2,118800,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7377597049535315,0.7001889990069842,0.7377597049535315,True
100,7.946598855689765e-05,0.0008012820512820513,0.0008012820512820513,8.820675663755844e-05,../db.crop-plant-entrez-ref.fasta.bz2,"NC_065754.1 Citrus jambhiri chloroplast, complete genome",e5c39c70,124800,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6411042555672297,0.7121331622161201,0.6766187088916749,0.7121331622161201,True
100,7.898270278808941e-05,0.0007547169811320754,0.0007547169811320754,8.820675663755844e-05,../db.crop-plant-entrez-ref.fasta.bz2,"NC_065148.1 Cucurbita argyrosperma chloroplast, complete genome",1aff9878,132500,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6411042555672297,0.7101057894099129,0.6756050224885712,0.7101057894099129,True
200,0.00015866719555731853,0.0015748031496062992,0.0015748031496062992,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_065013.1 Amaranthus tricolor chloroplast, complete genome",f6bcbd89,127000,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7354185573009826,0.6990184251807097,0.7354185573009826,True
200,0.00015796540557617883,0.0015082956259426848,0.0015082956259426848,0.00017641351327511687,../db.crop-plant-entrez-ref.fasta.bz2,"NC_064728.1 Durio oxleyanus voucher LSY1102 plastid, complete genome",cd769b50,132600,input/weight_loss/ERR11520694_2.fastq.gz,ERR11520694,ba330057,1133700,21,DNA,100,11337,False,0.6626182930604368,0.7339089989925562,0.6982636460264966,0.7339089989925562,True
