intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,scientific_name,Unnamed: 0_x,USDA_id,usda_common_name,Unnamed: 0_y,trnL_id,trnl_common_name,Unnamed: 0,foodb_id,foodb_common_name
700,0.0318181818181818,0.0025897151313355,0.0318181818181818,5.829619649704633e-05,1.2857142857142858,1.0,0.6998542122237652,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_060534.1 Cephaleuros karstenii strain GD1942 chloroplast, complete genome",618b04b40210c6e1df0894bac727a39b,0.0025897151313355,700,0,21300,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.8485917917822395,0.7530460304181481,0.8008189111001938,0.8485917917822395,False,9,9,154384,Cephaleuros karstenii,,,,,,,,,
500,0.0227272727272727,0.0036049026676279,0.0227272727272727,0.0006218260959684,19.2,15.0,12.6237870704476,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_072259.1 Albizia kalkora voucher 20210623002-1 plastid, complete genome",d46e11c3c70d0c04c5474039da31ba19,0.0036049026676279,500,1,20800,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.835103586299466,0.7650002856141473,0.8000519359568067,0.835103586299466,True,96,105,154384,Albizia kalkora,,,,,,,,,
400,0.0181818181818181,0.0031746031746031,0.0181818181818181,0.0003173904031505,12.25,2.0,18.34904629674251,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_066776.1 Lactuca dumicola chloroplast, complete genome",545ae8904f78fc8d62b397422c4ae8f8,0.0031746031746031,400,2,20400,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.8262768519445641,0.7603837564688493,0.7933303042067067,0.8262768519445641,True,49,154,154384,Lactuca dumicola,,,,,,,,,
400,0.0181818181818181,0.0033250207813798,0.0181818181818181,0.0086990879883925,335.75,351.5,290.7570936365956,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_032066.1 Medicago falcata strain 1210 chloroplast, complete genome",daa8908db13565fc0f1f2fc2d14d5852,0.0033250207813798,400,3,20000,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.8262768519445641,0.7620618273545794,0.7941693396495717,0.8262768519445641,True,1343,1497,154384,Medicago falcata,,,,1082.0,3878.0,sickle medic,,,
400,0.0181818181818181,0.0009932952570151,0.0181818181818181,3.2386775831692406e-05,1.25,1.0,0.4330127018922193,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_014346.1 Floydiella terrestris chloroplast, complete genome",9aeab2008be24168dbf01618fda34a6a,0.0009932952570151,400,4,19600,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.8262768519445641,0.7194551596225364,0.7728660057835502,0.8262768519445641,True,5,1502,154384,Floydiella terrestris,,,,,,,,,
300,0.0136363636363636,0.0022321428571428,0.0136363636363636,0.0010817183127785,55.66666666666666,29.0,37.712361663282536,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_072307.1 Zingiber xishuangbannaense chloroplast, complete sequence",367a37adc87a2a1b5688227cc8be2726,0.0022321428571428,300,5,19300,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.815034743914329,0.7477366466750616,0.7813856952946953,0.815034743914329,True,167,1669,154384,Zingiber xishuangbannaense,,,,,,,,,
300,0.0136363636363636,0.0022590361445783,0.0136363636363636,0.0012371748367706,63.66666666666666,2.0,87.20983634634086,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_069209.1 Quercus oxyodon chloroplast, complete genome",d74a39246ac4499961cfed779506eef0,0.0022590361445783,300,6,19000,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.815034743914329,0.7481631986238353,0.7815989712690821,0.815034743914329,True,191,1860,154384,Quercus oxyodon,,,,,,,,,
400,0.0181818181818181,0.0023809523809523,0.0136363636363636,0.0002396621411545,12.333333333333334,9.0,10.873004286866726,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_066786.1 Lactuca praecox chloroplast, complete genome",5c56031b4ae816f9e9e68f3dd2f74dcf,0.0031746031746031,300,7,18700,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.8262768519445641,0.7603837564688493,0.7933303042067067,0.8262768519445641,True,37,1897,154384,Lactuca praecox,,,,,,,,,
300,0.0136363636363636,0.0025531914893617,0.0136363636363636,0.0001230697481604,6.333333333333333,5.0,4.189935029992178,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_044488.1 Arundinaria humbertii voucher TAN:MSV1223 chloroplast, complete genome",eb31b31950fa50752340d8ed0b5c890a,0.0025531914893617,300,8,18400,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.815034743914329,0.7525368659364723,0.7837858049254006,0.815034743914329,True,19,1916,154384,Arundinaria humbertii,,,,,,,,,
300,0.0136363636363636,0.0015360983102918,0.009090909090909,0.0070408850658099,543.5,543.5,542.5,output/weight_loss/all_chloroplast.100/gather_ext/ERR11520724.21.db-matches.sig,"NC_079964.1 Rosa chinensis var. semperflorens voucher JTWR-12 plastid, complete genome",43f051bce5501f1253400bee3d150095,0.0023041474654377,200,9,18200,,ERR11520724-known,fdd45fb6,22000,21,DNA,100,220,True,0.815034743914329,0.7488679618932355,0.7819513529037823,0.815034743914329,True,1087,3003,154384,Rosa chinensis,35466.0,ROCH,Chinese rose,196.0,74649.0,China rose,,,
