intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,scientific_name,Unnamed: 0_x,USDA_id,usda_common_name,Unnamed: 0_y,trnL_id,trnl_common_name,Unnamed: 0,foodb_id,foodb_common_name
300,9.365049634763064e-05,0.5012054036526399,9.365049634763064e-05,5.362859311573876e-05,4.333333333333333,2.0,3.299831645537222,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_045423.1:50709-51308 Torminalis clusii voucher s.n. chloroplast, complete genome",dce24af3794141c81dd65de2bada65af,0.5012054036526399,300,0,2000,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,13,13,242408,Torminalis clusii,,,,,,,,,
200,6.243366423175376e-05,0.1818210549677227,6.243366423175376e-05,4.125276393518366e-05,5.0,5.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_071793.1:48777-49362 Paraligusticum discolor voucher 16CS13363 chloroplast, complete genome",d0cc1d5728b4e7d534cae0e5b903a55d,0.1818210549677227,200,1,1800,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,10,23,242408,Paraligusticum discolor,,,,,,,,,
200,6.243366423175376e-05,0.2000086346222495,6.243366423175376e-05,0.0216123230256427,2619.5,2619.5,2618.5,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_026551.1:48731-49312 Capsicum lycianthoides chloroplast, complete genome",3a6ab9459290e18a149a285f0acac103,0.2000086346222495,200,2,1600,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,5239,5262,242408,Capsicum lycianthoides,,,,,,,,,
100,3.121683211587688e-05,0.1429830124017507,3.121683211587688e-05,0.0005899145242731,143.0,143.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_022264.1:49695-50304 Camellia taliensis voucher HKAS:S.X.Yang3157 chloroplast, complete genome",6c5c0feac043071f67869682255071dc,0.1429830124017507,100,3,1500,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,143,5405,242408,Camellia taliensis,,,,,,,,,
100,3.121683211587688e-05,0.2013227879643715,3.121683211587688e-05,0.0012623345764166,306.0,306.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_042235.1:51426-52028 Ampelopsis japonica chloroplast, complete genome",3789dae0c4ac1f3c5d0ed8678299ded2,0.2013227879643715,100,4,1400,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,306,5711,242408,Ampelopsis japonica,,,,,,,,,
100,3.121683211587688e-05,0.2545696663581728,3.121683211587688e-05,0.000565162865912,137.0,137.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_068636.1:48564-49177 Potentilla kleiniana chloroplast, complete genome",4f75e762e8d10984978c11c6e1e9f9b3,0.2545696663581728,100,5,1300,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,137,5848,242408,Potentilla kleiniana,,,,,,,,,
100,3.121683211587688e-05,0.0833338153419289,3.121683211587688e-05,0.0105648328438005,2561.0,2561.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_044900.1:46889-47539 Leymus chinensis chloroplast, complete genome",9a1d5bead0f76c646abafd6c18e6ac71,0.0833338153419289,100,6,1200,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,2561,8409,242408,Leymus chinensis,,,,,,,,,
100,3.121683211587688e-05,0.1670684678842132,3.121683211587688e-05,7.012969868981222e-05,17.0,17.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_037991.1:48620-49199 Rubus takesimensis chloroplast, complete genome",30d49765b5bea9f30a75c7515d7d91e5,0.1670684678842132,100,7,1100,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,17,8426,242408,Rubus takesimensis,,,,,,,,,
100,3.121683211587688e-05,0.1111242175242531,3.121683211587688e-05,2.887693475462856e-05,7.0,7.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_061724.1:51533-52134 Cissus antarctica voucher Wen#2010-097 chloroplast, complete genome",376f124b549fe85a2e41617ced9fd14f,0.1111242175242531,100,8,1000,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,7,8433,242408,Cissus antarctica,9481.0,CIAN3,kangaroo vine,294.0,149359.0,kangaroo vine,,,
100,3.121683211587688e-05,0.1670684678842132,3.121683211587688e-05,8.250552787036732e-06,2.0,2.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_061721.1:49996-50601 Cissus quadrangularis voucher Wen#11985 chloroplast, complete genome",ca7ef7f7747f6911e35664e92cf68b6b,0.1670684678842132,100,9,900,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,2,8435,242408,Cissus quadrangularis,9660.0,CIQU5,veldt-grape,296.0,165298.0,winged treebine,,,
100,3.121683211587688e-05,0.2545696663581728,3.121683211587688e-05,8.250552787036732e-06,2.0,2.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_058219.1:47431-47829 Allium cyaneum chloroplast, complete genome",6bab404b985518729f2c80e6c3286ac2,0.2545696663581728,100,10,800,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,2,8437,242408,Allium cyaneum,,,,,,,,,
100,3.121683211587688e-05,0.1111242175242531,3.121683211587688e-05,8.663080426388568e-05,21.0,21.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_056946.1:48980-49550 Rubus setchuenensis chloroplast, complete genome",8f52fc4a5f0fb051827783d0493534e1,0.1111242175242531,100,11,700,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,21,8458,242408,Rubus setchuenensis,,,,,,,,,
100,3.121683211587688e-05,0.35052330984075,3.121683211587688e-05,8.250552787036732e-06,2.0,2.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_053371.1:113483-113911 Medicago ruthenica chloroplast, complete genome",08b41c092811b93987bddc1375301f4a,0.35052330984075,100,12,600,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,2,8460,242408,Medicago ruthenica,26131.0,MERU6,alfalfa,,,,,,
100,3.121683211587688e-05,0.2545696663581728,3.121683211587688e-05,0.0001113824626249,27.0,27.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_052882.1:48134-48646 Sibbaldianthe bifurca chloroplast, complete genome",07116f25ba907144016f8f3253e38c12,0.2545696663581728,100,13,500,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,27,8487,242408,Sibbaldianthe bifurca,,,,,,,,,
100,3.121683211587688e-05,0.1250402907779497,3.121683211587688e-05,4.125276393518366e-05,10.0,10.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_049685.1:46773-47169 Ochthodium aegyptiacum chloroplast, complete genome",7a694270691299ec0b2f84d73ea00583,0.1250402907779497,100,14,400,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,10,8497,242408,Ochthodium aegyptiacum,,,,,,,,,
100,3.121683211587688e-05,0.1250402907779497,3.121683211587688e-05,7.012969868981222e-05,17.0,17.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_047412.1:29279-29879 Trifolium pratense plastid, complete genome",d32e3749bacca9b957cc8f16463333ca,0.1250402907779497,100,15,300,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,17,8514,242408,Trifolium pratense,41856.0,TRPR2,red clover,618.0,57577.0,rotklee,,,
100,3.121683211587688e-05,0.1111242175242531,3.121683211587688e-05,8.250552787036732e-06,2.0,2.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_023790.1:51049-51652 Vitis rotundifolia chloroplast, complete genome",418372c4166c8ff85f0801f785df9045,0.1111242175242531,100,16,200,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,2,8516,242408,Vitis rotundifolia,43084.0,VIRO3,muscadine,1240.0,103349.0,fox grape,,,
100,3.121683211587688e-05,0.0833338153419289,3.121683211587688e-05,0.0040757730767961,988.0,988.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_031189.1:49502-50070 Persea americana voucher SY1359 chloroplast, complete genome",f5a9fbaed3289fe3b7d7222e34faa837,0.0833338153419289,100,17,100,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,988,9504,242408,Persea americana,29418.0,PEAM3,avocado,1097.0,3435.0,avocado,87.0,130.0,Avocado
100,3.121683211587688e-05,0.1670684678842132,3.121683211587688e-05,0.0004166529157453,101.0,101.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_009259.1:c16916-16309 Phaseolus vulgaris chloroplast, complete genome",999a20a8f95d14acaab2d9682fd086de,0.1670684678842132,100,18,0,input/weight_loss/ERR11520725_2.fastq.gz,ERR11520725,5317e754,3203400,51,DNA,100,32034,True,,,,,True,101,9605,242408,Phaseolus vulgaris,31406.0,PHVU,kidney bean,1332.0,3885.0,kidney bean,91.0,134.0,Black Bean
