intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
600,0.00015044380923724988,0.5454631649031682,0.00015044380923724988,0.012147374761570124,1230.1666666666667,1573.0,722.444557657464,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_071793.1:48777-49362 Paraligusticum discolor voucher 16CS13363 chloroplast, complete genome",d0cc1d5728b4e7d534cae0e5b903a55d,0.5454631649031682,600,0,10600,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,7381,7381,607621
400,0.00010029587282483326,0.4000172692444991,0.00010029587282483326,0.0010516423889233586,159.75,192.0,101.4454902891203,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_035236.1:49426-49989 Cinnamomum verum chloroplast, complete genome",72fdb3378fee02a595bb7d55ea93f719,0.4000172692444991,400,1,10200,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,639,8020,607621
300,7.522190461862494e-05,0.33337265257275933,7.522190461862494e-05,0.00034067288655263727,69.0,8.0,91.26152895205442,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_029943.1:49294-49803 Epimedium koreanum chloroplast, complete genome",a63a1e857878db0f9e09eeac2df8b2b9,0.33337265257275933,300,2,9900,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,207,8227,607621
300,7.522190461862494e-05,0.42894903720525224,7.522190461862494e-05,1.4811864632723359e-05,3.0,3.0,0.0,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_072921.1:50466-51066 Prinsepia sinensis voucher Zhang sd177 chloroplast, complete genome",0629c24b535be5f3d60c6e5e6f8cdcd0,0.42894903720525224,300,3,9600,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,9,8236,607621
300,7.522190461862494e-05,0.3751208723338491,7.522190461862494e-05,0.004063388197577108,823.0,1134.0,442.651857181992,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_018552.1:c49661-49151 Capsicum annuum chloroplast, complete genome",8c90d7d418502a79a08c66a7d9e962d1,0.3751208723338491,300,4,9300,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,2469,10705,607621
300,7.522190461862494e-05,0.33337265257275933,7.522190461862494e-05,0.01242057137590702,2515.6666666666665,2897.0,1916.6006945167849,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_033978.1:51558-52012 Betula nana chloroplast, complete genome",d3352675ad87a96222236269c97fa078,0.33337265257275933,300,5,9000,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,7547,18252,607621
300,7.522190461862494e-05,0.42894903720525224,7.522190461862494e-05,4.77271193721086e-05,9.666666666666666,6.0,7.408703590297622,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_061765.1:47007-47533 Reichardia crystallina chloroplast, complete genome",a0e0bc30309ec06dd4ea3a99b377283e,0.42894903720525224,300,6,8700,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,29,18281,607621
300,7.522190461862494e-05,0.42894903720525224,7.522190461862494e-05,3.2915254739385245e-05,6.666666666666667,3.0,5.9066817155564495,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_037021.1:51510-52100 Broussonetia kazinoki x Broussonetia papyrifera strain ZNL2017 chloroplast, complete genome",def86ce06452da2e0b12095d4afeb099,0.42894903720525224,300,7,8400,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,20,18301,607621
300,7.522190461862494e-05,0.5012054036526399,7.522190461862494e-05,0.019699779961522067,3990.0,43.0,5586.144108416825,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_045423.1:50709-51308 Torminalis clusii voucher s.n. chloroplast, complete genome",dce24af3794141c81dd65de2bada65af,0.5012054036526399,300,8,8100,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,11970,30271,607621
300,7.522190461862494e-05,0.5012054036526399,7.522190461862494e-05,0.00014647288359026433,29.666666666666668,28.0,2.3570226039551585,../db/Sketched-db/db.trnL-entrez-ref.fasta.bz2.sig,"NC_028051.1:56943-57516 Pelargonium dichondrifolium chloroplast, complete genome",de63822e25f64336d191b3a702646698,0.5012054036526399,300,9,7800,input/weight_loss/ERR11520703_2.fastq.gz,ERR11520703,920381ab,3988200,51,DNA,100,39882,True,,,,,True,89,30360,607621
