intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
300,0.043478260869565216,0.5012054036526399,0.043478260869565216,0.016136468418626097,23.333333333333332,3.0,30.180935851773864,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_072216.1:47576-48185 Anabasis aphylla chloroplast, complete genome",b6d944e7b17549faed5e9cdca868ccf9,0.5012054036526399,300,0,6600,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,70,70,4338
200,0.028985507246376812,0.40264557592874306,0.028985507246376812,0.11410788381742738,247.5,247.5,242.5,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_036142.1:49580-50200 Gynostemma pubescens chloroplast, complete genome",5e38d1cf34adbb16f51d0627d13ec6af,0.40264557592874306,200,1,6400,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,495,565,4338
300,0.043478260869565216,0.40264557592874306,0.028985507246376812,0.0009220839096357768,2.0,2.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_050158.1:47465-47979 Chuquiraga oblongifolia plastid, complete genome",a6ed4cdb450aa3ab3bc59db52b8b5e9f,0.6039683638931146,200,2,6200,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,4,569,4338
200,0.028985507246376812,0.22224843504850622,0.028985507246376812,0.047487321346242506,103.0,103.0,101.0,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_068129.1:49400-49995 Triosteum sinuatum chloroplast, complete genome",387f63fd5abf0185af662eab6f10b116,0.22224843504850622,200,3,6000,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,206,775,4338
200,0.028985507246376812,0.2500805815558994,0.028985507246376812,0.22660212079299216,491.5,491.5,490.5,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_068110.1:46624-47262 Cynodon radiatus voucher HN02 chloroplast, complete genome",28135dbeaaef0ee5eb21df8399f2986d,0.2500805815558994,200,4,5800,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,983,1758,4338
200,0.028985507246376812,0.22224843504850622,0.028985507246376812,0.0006915629322268327,1.5,1.5,0.5,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_065808.1:49869-50492 Diplodiscus trichospermus chloroplast, complete genome",dc497f9f4713cf6f22b931881bca7c8a,0.22224843504850622,200,5,5600,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,3,1761,4338
200,0.028985507246376812,0.40264557592874306,0.028985507246376812,0.019594283079760258,42.5,42.5,35.5,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_065394.1:47901-48461 Schnabelia terniflora chloroplast, complete genome",3b95883c67a898b693916f940fe4d38e,0.40264557592874306,200,6,5400,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,85,1846,4338
200,0.028985507246376812,0.40264557592874306,0.028985507246376812,0.004149377593360996,9.0,9.0,7.0,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_064972.1:47393-47983 Urera cf. cordifolia Ur15 chloroplast, complete genome",c7f8df3f40e5b1c16a1c41a49239a5e6,0.40264557592874306,200,7,5200,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,18,1864,4338
200,0.028985507246376812,1.0,0.028985507246376812,0.13208852005532504,286.5,286.5,277.5,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_064751.1:48473-49069 Leucosyke puya chloroplast, complete genome",895f7ac1e78f9730629245d1bf6481a2,1.0,200,8,5000,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,573,2437,4338
200,0.028985507246376812,0.33413693576842657,0.028985507246376812,0.022821576763485476,49.5,49.5,45.5,output/weight_loss/trnl.100/gather_ext/ERR11520693.21.db-matches.sig,"NC_047393.1:c14834-14250 Poecilanthe parviflora voucher Yi15497-KUN plastid, complete genome",d4296e99f411704c0b15fd46e158b974,0.33413693576842657,200,9,4800,,ERR11520693-known,0499c846,6900,21,DNA,100,69,True,,,,,True,99,2536,4338
