intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2000,0.0006077180188392585,0.016666666666666666,0.0006077180188392585,0.0008267075157439152,34.0,34.0,3.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_079848.1 Sanguinaria canadensis voucher S03 chloroplast, complete genome",36c08c5752160eeda6e005bb56fec01b,0.016666666666666666,2000,0,11000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,68,68,82254
2000,0.0006077180188392585,0.015384615384615385,0.0006077180188392585,0.0038174435285821965,157.0,157.0,156.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_057233.1 Koelreuteria bipinnata chloroplast, complete genome",080bb2dd72fccdc935c9f35a64da37d1,0.015384615384615385,2000,1,9000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,314,382,82254
1000,0.00030385900941962927,0.009708737864077669,0.00030385900941962927,0.0011428015658812944,94.0,94.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_069215.1 Zygophyllum mucronatum plastid, complete genome",1f122528209ae6dd68b07fa495722647,0.009708737864077669,1000,2,8000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,94,476,82254
1000,0.00030385900941962927,0.007936507936507936,0.00030385900941962927,1.2157463466822282e-05,1.0,1.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_067015.1 Chrysosplenium taibaishanense chloroplast, complete genome",80a2ed6e69bc545b93ed71cb49f5dbcf,0.007936507936507936,1000,3,7000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,1,477,82254
1000,0.00030385900941962927,0.007246376811594203,0.00030385900941962927,3.647239040046685e-05,3.0,3.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_064102.1 Spyridium burragorang voucher CBG9611161 chloroplast, complete genome",f979ac6588c57a136b7238391de99199,0.007246376811594203,1000,4,6000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,3,480,82254
1000,0.00030385900941962927,0.008,0.00030385900941962927,6.0787317334111414e-05,5.0,5.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_062882.1 Hippophae tibetana chloroplast, complete genome",1036b96f033efc437f3343e25b695240,0.008,1000,5,5000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,5,485,82254
1000,0.00030385900941962927,0.008,0.00030385900941962927,8.510224426775598e-05,7.0,7.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_062369.1 Tordylium lanatum chloroplast, complete genome",9f9b91fa541da939e65a84030ae49307,0.008,1000,6,4000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,7,492,82254
1000,0.00030385900941962927,0.008928571428571428,0.00030385900941962927,0.02195637902108104,1806.0,1806.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_054176.1 Mucuna pruriens plastid, complete genome",9ec03b0e25c7aff0f1ef919958b69d5e,0.008928571428571428,1000,7,3000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,1806,2298,82254
1000,0.00030385900941962927,0.007751937984496124,0.00030385900941962927,2.4314926933644564e-05,2.0,2.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_047375.1 Genista tinctoria voucher Yi14759-KUN plastid, complete genome",efe2c3a00bc8328cd33baeff0ec61366,0.007751937984496124,1000,8,2000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,2,2300,82254
1000,0.00030385900941962927,0.00819672131147541,0.00030385900941962927,1.2157463466822282e-05,1.0,1.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_047245.1 Withania somnifera chloroplast, complete genome",8aa4708de7a3cbbfc02d6f4e157a39b9,0.00819672131147541,1000,9,1000,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,1,2301,82254
2000,0.0006077180188392585,0.007751937984496124,0.00030385900941962927,3.647239040046685e-05,3.0,3.0,0.0,/home/sjnair/2023-dietary-plants/Sketched-db/db.plant-entrez-ref.sig.zip,"NC_034359.1 Solms-laubachia eurycarpa chloroplast, complete genome",ce5409a2d1cbbe8fd27d52fd3be38ebc,0.015503875968992248,1000,10,0,input/ERR11520708_2.fastq.gz,ERR11520708,355a7ae8,3291000,51,DNA,1000,3291,True,,,,,True,3,2304,82254
