intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,scientific_name,Unnamed: 0_x,USDA_id,usda_common_name,Unnamed: 0_y,trnL_id,trnl_common_name,Unnamed: 0,foodb_id,foodb_common_name
200,0.1052631578947368,0.1818210549677227,0.1052631578947368,0.0037033919703728,44.0,44.0,1.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_071793.1:48777-49362 Paraligusticum discolor voucher 16CS13363 chloroplast, complete genome",d0cc1d5728b4e7d534cae0e5b903a55d,0.1818210549677227,200,0,1700,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,88,88,23762,Paraligusticum discolor,,,,,,,,,
200,0.1052631578947368,0.3341369357684265,0.1052631578947368,0.0278175237774598,330.5,330.5,329.5,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_045423.1:50709-51308 Torminalis clusii voucher s.n. chloroplast, complete genome",dce24af3794141c81dd65de2bada65af,0.3341369357684265,200,1,1500,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,661,749,23762,Torminalis clusii,,,,,,,,,
100,0.0526315789473684,0.35052330984075,0.0526315789473684,0.0002525039979799,6.0,6.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_025910.1:46580-47084 Artemisia montana chloroplast, complete genome",b7b0d08456c8cdce06aa3fe3d271c935,0.35052330984075,100,2,1400,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,6,755,23762,Artemisia montana,,,,,,,,,
100,0.0526315789473684,0.2013227879643715,0.0526315789473684,0.0003787559969699,9.0,9.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_044726.1:46426-46952 Saussurea obvallata chloroplast, complete genome",9333e9c1518319d3c6b55a3fdd548846,0.2013227879643715,100,3,1300,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,9,764,23762,Saussurea obvallata,,,,,,,,,
100,0.0526315789473684,0.1250402907779497,0.0526315789473684,0.0073646999410824,175.0,175.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_018552.1:c49661-49151 Capsicum annuum chloroplast, complete genome",8c90d7d418502a79a08c66a7d9e962d1,0.1250402907779497,100,4,1200,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,175,939,23762,Capsicum annuum,6214.0,CAAN4,cayenne pepper,,,,25.0,40.0,Bell Pepper
100,0.0526315789473684,0.1250402907779497,0.0526315789473684,8.416799932665601e-05,2.0,2.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_072512.1:49911-50509 Trichosanthes reticulinervis isolate HLQW090052 05 chloroplast, complete genome",53f3be6d1acc48cde38e8fc4ae0c25b5,0.1250402907779497,100,5,1100,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,2,941,23762,Trichosanthes reticulinervis,,,,,,,,,
100,0.0526315789473684,0.1670684678842132,0.0526315789473684,0.0002104199983166,5.0,5.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_072511.1:49111-49696 Trichosanthes schlechteri isolate PEBO4150 chloroplast, complete genome",9a3fa9557ba307b052badf40babf0be3,0.1670684678842132,100,6,1000,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,5,946,23762,Trichosanthes schlechteri,,,,,,,,,
100,0.0526315789473684,0.1000043173111247,0.0526315789473684,0.0007154279942765,17.0,17.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_071812.1:48446-49031 Seselopsis tianschanica voucher 16CS13419 chloroplast, complete genome",918dc3f846d7598f9274fd5fb0aa39e6,0.1000043173111247,100,7,900,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,17,963,23762,Seselopsis tianschanica,,,,,,,,,
100,0.0526315789473684,0.0833338153419289,0.0526315789473684,0.1554582947563336,3694.0,3694.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_044900.1:46889-47539 Leymus chinensis chloroplast, complete genome",9a1d5bead0f76c646abafd6c18e6ac71,0.0833338153419289,100,8,800,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,3694,4657,23762,Leymus chinensis,,,,,,,,,
100,0.0526315789473684,0.1250402907779497,0.0526315789473684,0.0001262519989899,3.0,3.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_067566.1:48942-49538 Ferula olivacea chloroplast, complete genome",a3a0dca79240a2c9f90adf0a9a51864f,0.1250402907779497,100,9,700,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,3,4660,23762,Ferula olivacea,,,,,,,,,
100,0.0526315789473684,0.0909105274838613,0.0526315789473684,0.0552562915579496,1313.0,1313.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_062369.1:46877-47464 Tordylium lanatum chloroplast, complete genome",3c5e7aa58ea2344c4f27a07ba74b61a0,0.0909105274838613,100,10,600,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,1313,5973,23762,Tordylium lanatum,,,,,,,,,
100,0.0526315789473684,0.2013227879643715,0.0526315789473684,4.2083999663328e-05,1.0,1.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_030329.1:c14142-13548 Glycine gracilis chloroplast, complete genome",e36738bc4bfcf14b95604a774336cd14,0.2013227879643715,100,11,500,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,1,5974,23762,Glycine gracilis,,,,,,,,,
100,0.0526315789473684,0.2013227879643715,0.0526315789473684,4.2083999663328e-05,1.0,1.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_053888.1:48323-48911 Bupleurum euphorbioides chloroplast, complete genome",38355593ac28aaf988602a419cb149ed,0.2013227879643715,100,12,400,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,1,5975,23762,Bupleurum euphorbioides,,,,,,,,,
100,0.0526315789473684,0.35052330984075,0.0526315789473684,4.2083999663328e-05,1.0,1.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_053371.1:113483-113911 Medicago ruthenica chloroplast, complete genome",08b41c092811b93987bddc1375301f4a,0.35052330984075,100,13,300,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,1,5976,23762,Medicago ruthenica,26131.0,MERU6,alfalfa,,,,,,
100,0.0526315789473684,0.1250402907779497,0.0526315789473684,0.0002945879976432,7.0,7.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_047412.1:29279-29879 Trifolium pratense plastid, complete genome",d32e3749bacca9b957cc8f16463333ca,0.1250402907779497,100,14,200,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,7,5983,23762,Trifolium pratense,41856.0,TRPR2,red clover,618.0,57577.0,rotklee,,,
100,0.0526315789473684,0.5773536549710813,0.0526315789473684,0.0267233397862132,635.0,635.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_042857.1:c13497-12975 Trigonella foenum-graecum voucher I.S. Choi MD025 plastid, complete genome",230566c1b2b4c52fe335bdd7d454c01d,0.5773536549710813,100,15,100,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,635,6618,23762,Trigonella foenum-graecum,41514.0,TRFO80,sicklefruit fenugreek,59.0,78534.0,fenugreek,130.0,186.0,Alholva (Sp.)
100,0.0526315789473684,0.1670684678842132,0.0526315789473684,0.7214880902280952,17144.0,17144.0,0.0,output/weight_loss/trnl.100/gather_ext/ERR11520720.51.db-matches.sig,"NC_009259.1:c16916-16309 Phaseolus vulgaris chloroplast, complete genome",999a20a8f95d14acaab2d9682fd086de,0.1670684678842132,100,16,0,,ERR11520720-known,69683968,1900,51,DNA,100,19,True,,,,,True,17144,23762,23762,Phaseolus vulgaris,31406.0,PHVU,kidney bean,1332.0,3885.0,kidney bean,91.0,134.0,Black Bean
