intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2000,0.06060606060606061,0.01639344262295082,0.06060606060606061,0.13861386138613863,112.0,112.0,111.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_072259.1 Albizia kalkora voucher 20210623002-1 plastid, complete genome",d46e11c3c70d0c04c5474039da31ba19,0.01639344262295082,2000,0,31000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,224,224,1616
2000,0.06060606060606061,0.01639344262295082,0.06060606060606061,0.0037128712871287127,3.0,3.0,2.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_072196.1 Corydalis alata voucher ESK21-020 chloroplast, complete genome",e03fe7ce581e4f12917add27e5b19360,0.01639344262295082,2000,1,29000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,6,230,1616
2000,0.06060606060606061,0.017094017094017096,0.06060606060606061,0.003094059405940594,2.5,2.5,1.5,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_069359.1 Irenepharsus magicus voucher MEL2275831A chloroplast, complete genome",578b9fa7bee669d8c5d6012ebc3b6b48,0.017094017094017096,2000,2,27000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,5,235,1616
2000,0.06060606060606061,0.017857142857142856,0.06060606060606061,0.01670792079207921,13.5,13.5,12.5,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_059944.1 Impatiens fanjingshanica chloroplast, complete genome",10974a86d55c25c4738084eaf6133879,0.017857142857142856,2000,3,25000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,27,262,1616
2000,0.06060606060606061,0.016666666666666666,0.06060606060606061,0.13366336633663367,108.0,108.0,107.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_041275.1 Berberidopsis corallina voucher Yi14295 (KUN) plastid, complete genome",cf4318c698f9b7d21c151fd0e784db95,0.016666666666666666,2000,4,23000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,216,478,1616
2000,0.06060606060606061,0.016260162601626018,0.06060606060606061,0.0037128712871287127,3.0,3.0,1.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_041260.1 Calandrinia granulifera voucher Visoiu MV-0509 (TSCC) plastid, complete genome",96542ea9ae316c3ae7f71d2223bbbdb7,0.016260162601626018,2000,5,21000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,6,484,1616
1000,0.030303030303030304,0.007936507936507936,0.030303030303030304,0.06435643564356436,104.0,104.0,0.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_080531.1 Pentaphragma spicatum chloroplast, complete genome",ef59742ae3e67d6f367010d62604ac1b,0.007936507936507936,1000,6,20000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,104,588,1616
1000,0.030303030303030304,0.008695652173913044,0.030303030303030304,0.0006188118811881188,1.0,1.0,0.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_079766.1 Aiphanes horrida voucher M_XT235(IBSC) chloroplast, complete genome",a522f72f7c6b1e799f1d73d9e544ed33,0.008695652173913044,1000,7,19000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,1,589,1616
1000,0.030303030303030304,0.007462686567164179,0.030303030303030304,0.0006188118811881188,1.0,1.0,0.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_073015.1 Euphorbia royleana chloroplast, complete genome",bb38bdd59829504e5afc2816db0bac16,0.007462686567164179,1000,8,18000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,1,590,1616
1000,0.030303030303030304,0.00980392156862745,0.030303030303030304,0.0012376237623762376,2.0,2.0,0.0,output/weight_loss/all_chloroplast.1000/gather_ext/ERR11520695.21.db-matches.sig,"NC_072566.1 Freesia laxa voucher KK2021_11 chloroplast, complete genome",194daa8c1402e524023797e164357f59,0.00980392156862745,1000,9,17000,,ERR11520695-known,8ecdf38b,33000,21,DNA,1000,33,True,,,,,True,2,592,1616
