intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,scientific_name,Unnamed: 0_x,USDA_id,usda_common_name,Unnamed: 0_y,trnL_id,trnl_common_name,Unnamed: 0,foodb_id,foodb_common_name
100,0.0833333333333333,0.0007898894154818,0.0833333333333333,0.0038965768390386,107.0,107.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_066745.1 Lactuca indica chloroplast, complete genome",7aff8b45571b0dee9fe3092a2041567c,0.0007898894154818,100,0,1100,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,107,107,27460,Lactuca indica,22215.0,LAIN13,Indian lettuce,,,,,,
100,0.0833333333333333,0.0007575757575757,0.0833333333333333,0.0072469045884923,199.0,199.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_061691.1 Camellia sinensis var. pubilimba chloroplast, complete genome",d178dcb0ea7e6ccf09c7ff7f4fc1dc27,0.0007575757575757,100,1,1000,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,199,306,27460,Camellia sinensis,7997.0,CASI16,tea,,,,23.0,38.0,Tea
100,0.0833333333333333,0.0007262164124909,0.0833333333333333,0.504843408594319,13863.0,13863.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_061549.1 Malus domestica cultivar Red Delicious-ww chloroplast, complete genome",879c39e50548912dc84d95be34269340,0.0007262164124909,100,2,900,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,13863,14169,27460,Malus domestica,,,,302.0,3750.0,apple,72.0,105.0,Apple
100,0.0833333333333333,0.0007042253521126,0.0833333333333333,0.0144938091769847,398.0,398.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_054233.1 Theobroma grandiflorum chloroplast, complete genome",e81b4b6286bd873dba3bd0ccf0ee7cc5,0.0007042253521126,100,3,800,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,398,14567,27460,Theobroma grandiflorum,40711.0,THGR7,theobroma,,,,,,
100,0.0833333333333333,0.000754716981132,0.0833333333333333,0.0220320466132556,605.0,605.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_054176.1 Mucuna pruriens plastid, complete genome",a830baceb11fcbd31c0a730bc529bb6c,0.000754716981132,100,4,700,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,605,15172,27460,Mucuna pruriens,27019.0,MUPR,velvet bean,,,,,,
100,0.0833333333333333,0.0007570022710068,0.0833333333333333,0.2588128186453022,7107.0,7107.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_042377.1 Osmanthus fragrans chloroplast, complete genome",4e457a183ff54562dc02d8f459a58aa6,0.0007570022710068,100,5,600,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,7107,22279,27460,Osmanthus fragrans,28513.0,OSFR2,sweet osmanthus,778.0,93977.0,sweet osmanthus,,,
100,0.0833333333333333,0.0007704160246533,0.0833333333333333,0.1184268026219956,3252.0,3252.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_039694.1 Capsicum pubescens chloroplast, complete genome",6488123c8f890dfcb386fc30cdffabed,0.0007704160246533,100,6,500,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,3252,25531,27460,Capsicum pubescens,7759.0,CAPU38,rocoto,29.0,113210.0,rocoto,,,
100,0.0833333333333333,0.0007380073800738,0.0833333333333333,0.0001092498179169,3.0,3.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_035236.1 Cinnamomum verum chloroplast, complete genome",b93245979a18b502c8c2e5b2fb9928ec,0.0007380073800738,100,7,400,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,3,25534,27460,Cinnamomum verum,9713.0,CIVE2,cinnamon,999.0,128608.0,Ceylon cinnamon,34.0,51.0,Ceylon Cinnamon
100,0.0833333333333333,0.0006997900629811,0.0833333333333333,0.0008375819373634,23.0,23.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_034998.1 Pistacia vera plastid, complete genome",e880fd0541e3bd0243433818db95e274,0.0006997900629811,100,8,300,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,23,25557,27460,Pistacia vera,31818.0,PIVE3,pistachio nut,1008.0,55513.0,pistachio,95.0,140.0,Pistachio
100,0.0833333333333333,0.0007496251874062,0.0833333333333333,0.0656955571740713,1804.0,1804.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_031189.1 Persea americana voucher SY1359 chloroplast, complete genome",f640e0e206777d63deadcc87902c1ad8,0.0007496251874062,100,9,200,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,1804,27361,27460,Persea americana,29418.0,PEAM3,avocado,1097.0,3435.0,avocado,87.0,130.0,Avocado
100,0.0833333333333333,0.0007782101167315,0.0833333333333333,0.0014566642388929,40.0,40.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_029850.1 Coriandrum sativum chloroplast, complete genome",e08bca52b0281d87ff2e618146babbca,0.0007782101167315,100,10,100,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,40,27401,27460,Coriandrum sativum,10913.0,COSA,coriander,1125.0,4047.0,coriander,41.0,61.0,Chinese Parsley
100,0.0833333333333333,0.0008264462809917,0.0833333333333333,0.002148579752367,59.0,59.0,0.0,output/weight_loss/crop_chloroplast.100/gather_ext/ERR11520710.51.db-matches.sig,"NC_009259.1 Phaseolus vulgaris chloroplast, complete genome",b7a54bd0e9a0ef742d0004a7542489d2,0.0008264462809917,100,11,0,,ERR11520710-known,3629578d,1200,51,DNA,100,12,True,,,,,True,59,27460,27460,Phaseolus vulgaris,31406.0,PHVU,kidney bean,1332.0,3885.0,kidney bean,91.0,134.0,Black Bean
